Age,Gender,School Type,Occupation Type,Years of Experience,Subject,Class Size,Teaching Duration,Teaching Strategy Usage,Average Student Scores,Student Passing Percentage,Teaching Strategy Rating,Student Positive Feedback,Teaching Strategy
36,1,2,1,12,2,3,45,0,1,2,4,4,Cooperative Learning
27,0,2,3,7,1,4,30,0,0,2,4,3,Problem-based Learning
37,1,2,2,10,1,2,45,0,2,2,3,4,Practical Exercises
34,0,2,1,10,2,2,45,0,2,1,4,3,Cooperative Learning
37,0,2,1,10,1,3,45,0,2,2,4,4,Problem-based Learning
26,0,2,1,2,4,1,30,0,2,2,5,4,Practical Exercises
36,1,1,1,13,5,2,30,0,1,1,4,3,Resource Sharing and Online Communities
35,0,2,1,5,2,2,45,0,2,1,5,3,Practical Exercises
32,1,2,2,9,5,2,45,0,2,2,4,3,Cooperative Learning
36,0,1,1,3,3,0,30,0,2,1,3,5,Practical Exercises
33,0,2,1,8,2,3,60,1,3,2,5,5,Problem-based Learning
27,0,1,1,1,3,2,30,0,1,1,4,3,Resource Sharing and Online Communities
25,1,2,1,3,1,2,45,1,1,3,4,3,Problem-based Learning
30,0,2,1,8,1,2,30,1,2,1,5,4,Problem-based Learning
22,0,2,2,2,1,1,15,1,1,1,4,3,Practical Exercises
19,0,2,2,2,1,3,45,1,1,2,4,3,Cooperative Learning
26,1,3,3,1,1,2,30,0,2,2,3,4,Continuous Evaluation and Feedback
30,1,2,1,4,2,2,30,1,2,2,4,4,Problem-based Learning
55,0,1,1,20,5,2,30,0,2,2,4,5,Practical Exercises
35,1,3,2,7,2,4,15,0,2,2,4,3,Problem-based Learning
24,1,3,1,2,1,4,15,0,0,1,3,3,Problem-based Learning
28,0,3,1,7,2,3,15,0,2,2,4,4,Cooperative Learning
34,0,2,1,6,4,4,15,1,2,3,5,5,Problem-based Learning
43,0,3,1,20,4,3,45,1,2,3,5,5,Practical Exercises
24,0,3,1,3,4,4,45,0,2,2,4,4,Practical Exercises
30,0,3,1,2,3,3,30,1,1,1,4,4,Practical Exercises
25,0,3,1,1,2,4,30,0,1,2,5,5,Cooperative Learning
25,0,2,1,1,0,3,30,1,0,0,3,4,Problem-based Learning
25,0,3,1,1,1,4,30,1,1,1,4,4,Problem-based Learning
26,0,3,1,3,0,4,60,1,2,2,4,4,Problem-based Learning
49,1,3,1,4,0,4,45,1,0,3,3,3,Practical Exercises
27,0,3,0,4,2,4,15,0,1,1,3,3,Practical Exercises
30,0,3,1,3,1,3,30,1,1,0,2,2,Continuous Evaluation and Feedback
27,0,2,1,3,3,4,45,1,1,2,4,4,Practical Exercises
43,1,3,1,7,3,4,30,1,2,3,5,3,Practical Exercises
29,1,1,1,4,5,4,30,0,1,2,4,4,Problem-based Learning
32,0,3,1,5,4,4,30,0,1,1,4,3,Practical Exercises
34,0,3,1,3,4,3,15,0,2,1,3,3,Problem-based Learning
47,1,3,1,10,1,4,61,1,0,1,3,2,Problem-based Learning
37,1,1,1,5,1,3,45,0,1,2,3,3,Practical Exercises
46,0,1,1,20,1,3,30,1,0,1,3,2,Continuous Evaluation and Feedback
130,0,2,1,3,0,4,30,0,2,3,4,4,Problem-based Learning
34,1,2,1,1,5,4,30,0,2,3,5,5,Problem-based Learning
30,1,2,2,9,0,4,15,0,2,3,4,4,Practical Exercises
29,0,2,2,5,0,4,15,1,2,3,4,4,Problem-based Learning
31,1,2,1,1,5,2,15,0,2,3,4,4,Problem-based Learning
36,1,1,1,5,1,4,30,0,2,2,4,4,Practical Exercises
41,1,1,1,19,1,4,30,1,2,3,4,4,Problem-based Learning
31,1,0,1,3,5,4,30,1,1,2,3,4,Continuous Evaluation and Feedback
29,1,2,1,5,1,4,30,0,1,3,4,4,Problem-based Learning
50,1,1,1,27,1,3,45,1,1,3,4,4,Cooperative Learning
37,1,1,1,7,1,3,61,0,2,2,4,4,Practical Exercises
36,0,1,2,5,1,3,15,1,3,3,4,4,Problem-based Learning
48,1,1,1,18,1,3,15,0,2,3,5,4,Problem-based Learning
43,0,1,1,19,0,3,15,0,2,3,5,5,Practical Exercises
29,0,1,1,3,1,3,15,0,2,3,5,4,Practical Exercises
28,0,1,1,5,1,4,60,0,2,3,4,4,Practical Exercises
46,0,1,1,21,1,3,30,0,3,3,4,3,Problem-based Learning
58,0,1,1,37,2,1,45,0,2,3,5,5,Practical Exercises
44,0,1,1,17,1,3,30,1,2,3,4,4,Practical Exercises
43,0,1,1,18,1,3,30,0,2,3,4,4,Problem-based Learning
36,1,1,1,8,1,3,30,0,2,3,4,3,Practical Exercises
43,0,1,1,17,1,3,15,1,2,3,4,4,Practical Exercises
42,1,1,1,7,1,3,30,0,2,2,3,3,Practical Exercises
38,0,1,1,4,1,3,30,0,2,3,4,4,Practical Exercises
44,1,1,1,22,1,3,45,0,2,3,4,4,Problem-based Learning
42,0,1,1,16,1,3,30,0,1,3,3,3,Problem-based Learning
42,1,1,1,20,1,3,30,1,2,3,4,4,Practical Exercises
28,1,1,1,1,1,3,15,0,2,2,4,3,Practical Exercises
27,1,1,1,2,1,4,30,1,1,2,3,3,Practical Exercises
28,0,1,1,3,1,4,30,0,2,3,4,4,Practical Exercises
30,0,1,1,6,1,4,30,1,1,3,4,5,Problem-based Learning
34,1,1,1,3,1,3,30,0,2,3,5,5,Problem-based Learning
35,1,1,1,8,1,4,45,0,2,3,4,4,Practical Exercises
30,0,1,1,5,1,4,15,0,2,3,4,3,Practical Exercises
34,0,1,1,10,4,4,30,0,2,3,4,3,Practical Exercises
38,1,1,1,10,3,4,45,0,1,3,3,4,Practical Exercises
33,0,1,1,4,0,4,45,0,2,3,4,4,Problem-based Learning
26,1,1,1,4,1,3,45,0,1,2,4,4,Practical Exercises
40,0,1,1,19,1,3,15,1,1,3,4,4,Resource Sharing and Online Communities
36,1,1,1,6,1,4,45,0,2,3,4,4,Practical Exercises
40,0,1,1,18,2,4,15,1,1,3,4,4,Problem-based Learning
36,0,1,2,10,0,3,61,0,2,3,5,5,Practical Exercises
40,0,1,1,18,3,4,30,0,2,3,5,5,Problem-based Learning
38,0,1,1,14,2,4,15,1,2,3,4,4,Problem-based Learning
41,0,1,1,18,1,4,30,1,2,2,4,4,Problem-based Learning
43,0,1,1,20,1,4,45,0,2,3,4,4,Practical Exercises
32,1,1,2,6,0,3,15,0,2,3,4,4,Problem-based Learning
32,1,1,1,8,0,2,61,1,2,3,5,5,Practical Exercises
32,0,2,2,4,0,3,15,0,2,3,4,4,Problem-based Learning
33,0,1,1,7,1,4,30,0,2,3,4,3,Problem-based Learning
35,0,1,1,8,2,4,45,0,3,3,4,4,Problem-based Learning
26,1,1,2,3,1,4,61,0,2,3,4,4,Practical Exercises
32,1,3,1,8,1,3,30,1,2,1,4,4,Practical Exercises
38,1,1,1,12,1,4,61,0,2,2,5,5,Practical Exercises
35,1,2,1,10,1,4,30,0,1,3,3,3,Practical Exercises
48,1,2,1,20,1,4,45,0,2,3,4,4,Problem-based Learning
28,0,2,1,1.5,1,4,45,0,2,2,3,4,Problem-based Learning
58,1,2,1,34,1,4,45,0,2,3,4,4,Resource Sharing and Online Communities
32,0,2,1,4,1,4,30,0,2,2,4,4,Problem-based Learning
25,0,1,1,2,1,4,30,1,1,2,4,4,Practical Exercises
32,0,1,0,5,0,4,30,1,1,2,4,4,Practical Exercises
32,1,1,1,5,1,4,30,0,2,3,4,4,Problem-based Learning
27,0,1,2,4,1,4,15,1,2,2,4,4,Problem-based Learning
33,1,1,1,10,1,4,45,0,2,3,5,5,Practical Exercises
32,1,1,1,8,0,4,30,0,2,3,4,4,Practical Exercises
37,1,1,1,10,1,4,45,2,2,2,4,3,Practical Exercises
45,1,1,3,15,5,3,30,0,1,2,5,5,Problem-based Learning
34,0,2,0,10,0,4,45,2,1,1,3,3,Practical Exercises
24,1,2,2,3,3,3,30,0,2,2,5,5,Problem-based Learning
34,0,2,0,11,1,3,30,0,1,2,5,5,Problem-based Learning
28,0,2,0,7,3,3,30,0,2,3,4,4,Practical Exercises
36,0,2,1,10,0,4,45,0,2,3,3,4,Practical Exercises
43,1,1,3,8,2,3,30,1,2,3,2,2,Problem-based Learning
30,0,2,2,10,2,3,45,0,2,2,4,4,Resource Sharing and Online Communities
34,1,1,1,15,1,3,30,1,2,2,3,3,Practical Exercises
35,0,2,1,14,2,3,45,0,3,1,5,5,Practical Exercises
32,1,1,1,4,0,3,30,0,1,2,3,3,Practical Exercises
34,0,2,3,8,3,3,45,0,2,2,4,4,Resource Sharing and Online Communities
38,1,1,1,10,1,4,61,0,2,3,5,4,Practical Exercises
29,1,2,2,7,4,2,45,0,2,2,4,2,Practical Exercises
25,1,2,2,2,2,3,15,2,2,2,3,3,Problem-based Learning
41,0,1,1,10,2,2,30,0,2,2,5,5,Cooperative Learning
38,0,2,0,12,0,2,60,0,1,1,4,5,Resource Sharing and Online Communities
29,0,0,1,0.5,5,2,61,0,2,3,3,4,Problem-based Learning
30,1,0,0,6,0,3,15,1,2,3,4,4,Practical Exercises
30,1,1,1,4,1,4,30,0,2,3,5,4,Practical Exercises
32,1,1,3,6,1,4,30,1,1,2,4,4,Practical Exercises
26,1,2,1,1,1,4,30,1,2,3,4,4,Problem-based Learning
23,0,1,1,3,1,4,45,1,2,3,5,5,Practical Exercises
25,1,1,1,5,1,4,45,1,3,3,5,5,Practical Exercises
26,1,1,1,3,0,4,15,1,2,3,4,4,Continuous Evaluation and Feedback
41,1,1,1,9,0,4,30,1,2,3,4,4,Problem-based Learning
29,1,1,2,8,1,3,15,0,1,2,5,4,Problem-based Learning
24,1,1,1,2,1,4,15,0,1,2,4,4,Practical Exercises
32,1,1,1,2,1,3,30,1,2,1,4,4,Cooperative Learning
25,0,1,3,3,3,3,45,0,2,3,5,5,Practical Exercises
25,1,1,2,3,0,4,30,0,2,3,5,5,Problem-based Learning
39,0,1,0,15,0,3,15,0,3,3,5,5,Practical Exercises
35,1,1,1,3,0,4,30,0,2,2,3,3,Practical Exercises
30,0,1,2,3,0,3,30,1,2,3,5,5,Problem-based Learning
43,1,1,3,7,1,4,45,1,1,3,5,4,Problem-based Learning
29,1,1,1,3,1,4,15,1,1,1,4,4,Problem-based Learning
30,1,1,0,5,1,4,45,0,1,2,4,4,Practical Exercises
41,0,1,1,16,0,4,30,1,2,3,4,4,Problem-based Learning
29,1,1,2,6,0,3,30,0,2,3,5,5,Practical Exercises
29,0,1,1,6,1,4,45,0,2,3,4,4,Cooperative Learning
30,0,1,1,5,0,2,30,1,2,3,4,4,Practical Exercises
40,1,1,1,5,1,4,30,1,2,2,4,4,Practical Exercises
38,0,1,3,10,1,4,30,0,2,3,5,5,Practical Exercises
24,1,1,1,1,1,4,30,0,0,2,3,3,Problem-based Learning
33,0,2,2,9,0,4,30,0,3,3,1,4,Practical Exercises
35,0,2,1,10,1,4,15,2,2,2,4,4,Problem-based Learning
27,0,1,0,3,1,4,30,1,3,3,5,5,Practical Exercises
45,1,1,1,10,0,4,30,0,2,3,5,5,Practical Exercises
25,0,2,2,3,1,4,30,1,3,3,5,5,Problem-based Learning
29,1,1,1,5,1,4,45,2,2,2,1,1,Practical Exercises
30,1,2,3,7,1,4,45,0,1,2,3,3,Practical Exercises
30,0,0,2,10,0,2,45,0,2,3,5,5,Problem-based Learning
37,1,2,1,5,1,4,45,0,2,2,5,5,Problem-based Learning
25,0,1,0,1.5,1,4,30,0,2,3,4,4,Practical Exercises
30,1,1,3,3,1,2,45,1,2,2,5,5,Practical Exercises
34,1,1,2,8,1,3,15,0,2,2,4,4,Resource Sharing and Online Communities
28,1,2,1,6,1,4,30,0,3,3,5,5,Practical Exercises
24,1,1,1,1,1,4,30,1,0,1,4,4,Practical Exercises
36,1,2,1,12,1,4,30,0,3,3,5,5,Practical Exercises
26,0,2,1,3,1,3,45,1,2,3,4,4,Practical Exercises
25,0,1,0,4,0,2,15,0,2,3,4,4,Practical Exercises
36,1,1,1,5,1,2,45,0,2,3,4,4,Practical Exercises
26,0,0,0,3,0,2,30,0,2,2,4,4,Cooperative Learning
38,1,1,1,10,1,4,45,1,3,3,5,5,Cooperative Learning
26,1,2,1,1,0,3,60,0,2,3,3,3,Practical Exercises
35,0,1,2,12,1,4,30,0,1,2,5,5,Problem-based Learning
28,0,2,0,7,0,1,30,1,3,3,4,4,Practical Exercises
23,1,0,1,0,0,1,15,1,3,1,3,3,Problem-based Learning
26,1,2,1,4,1,2,60,0,3,3,5,5,Practical Exercises
21,1,1,1,5,1,4,30,1,2,1,3,3,Practical Exercises
30,1,1,1,7,1,3,30,1,3,3,5,5,Practical Exercises
24,0,2,1,3,0,4,15,1,3,3,4,4,Problem-based Learning
26,1,1,0,4,1,2,30,0,2,3,5,5,Practical Exercises
36,1,1,1,4,1,4,30,0,2,3,5,5,Practical Exercises
38,1,1,1,10,1,4,45,0,2,3,5,4,Practical Exercises
35,0,1,2,11,0,3,15,0,2,2,4,5,Resource Sharing and Online Communities
42,1,2,3,18,1,4,60,0,3,3,5,5,Practical Exercises
30,1,2,1,6,1,3,60,0,1,1,4,4,Cooperative Learning
33,0,1,1,10,0,4,30,0,1,3,4,3,Problem-based Learning
35,1,1,0,6,0,3,30,0,2,3,4,4,Practical Exercises
33,1,2,1,6,0,3,45,0,2,2,4,4,Cooperative Learning
25,0,1,2,3,0,4,45,0,2,3,4,5,Practical Exercises
23,0,2,1,1,1,3,30,1,3,3,5,5,Practical Exercises
31,1,2,1,8,1,1,15,1,2,3,5,4,Practical Exercises
31,0,1,1,7,1,3,30,0,2,2,4,4,Practical Exercises
28,1,1,2,8,0,4,30,0,2,3,4,4,Practical Exercises
32,0,2,1,10,1,4,45,1,2,3,4,4,Problem-based Learning
28,1,3,2,3,2,3,30,0,2,1,4,4,Practical Exercises
25,1,0,1,6,1,4,30,0,2,2,4,4,Practical Exercises
24,0,1,0,5,0,3,45,0,3,2,5,5,Practical Exercises
35,0,2,1,10,1,2,61,0,2,1,3,3,Resource Sharing and Online Communities
27,1,1,0,3,1,3,45,2,2,3,4,3,Practical Exercises
32,0,1,1,8,1,4,30,0,2,3,4,4,Practical Exercises
21,1,1,1,2,1,1,45,1,3,3,5,5,Problem-based Learning
31,1,2,1,8,1,4,61,0,2,3,5,5,Practical Exercises
30,1,1,1,5,1,3,45,1,3,3,4,4,Practical Exercises
25,1,2,2,5,5,2,30,0,2,2,5,5,Practical Exercises
32,1,2,0,10,1,1,30,1,2,3,5,5,Practical Exercises
34,1,1,1,7,1,4,45,1,2,2,4,4,Problem-based Learning
31,1,1,1,6,0,4,45,0,2,3,5,5,Continuous Evaluation and Feedback
35,0,2,0,8,0,3,30,0,2,2,4,4,Practical Exercises
34,1,2,1,5,1,4,30,0,2,3,3,3,Practical Exercises
35,1,1,1,1,1,4,30,0,2,2,4,4,Practical Exercises
24,1,2,1,2,0,4,30,0,2,2,5,4,Problem-based Learning
33,1,1,1,9,1,4,30,0,2,2,4,4,Practical Exercises
24,1,2,2,1,1,1,45,0,2,3,4,5,Problem-based Learning
31,0,0,1,7,1,2,30,0,2,1,4,4,Cooperative Learning
38,1,2,1,15,1,4,45,0,2,3,5,5,Problem-based Learning
23,0,1,1,1,1,0,45,1,1,2,3,3,Practical Exercises
20,0,1,0,1,0,4,15,0,2,3,4,4,Practical Exercises
40,1,1,1,16,1,4,30,0,2,2,5,5,Problem-based Learning
52,1,1,1,27,1,3,30,0,1,3,4,4,Practical Exercises
26,1,2,1,3,0,3,45,0,2,2,5,5,Practical Exercises
40,1,2,2,20,3,3,61,1,1,2,5,5,Resource Sharing and Online Communities
32,1,1,1,6,1,4,30,1,1,2,4,4,Practical Exercises
44,1,2,1,20,0,3,60,0,1,3,4,3,Practical Exercises
30,0,2,1,5,1,2,30,0,2,3,5,5,Practical Exercises
21,0,1,2,1,0,3,30,0,2,2,3,4,Problem-based Learning
25,0,1,2,4,0,2,45,0,2,2,5,5,Cooperative Learning
28,1,1,1,6,1,3,45,1,3,3,5,5,Problem-based Learning
29,1,1,1,5,1,4,30,1,2,3,4,3,Practical Exercises
30,1,1,1,5,2,2,30,1,3,3,5,5,Practical Exercises
35,1,1,1,10,1,3,45,0,3,3,5,5,Problem-based Learning
21,1,1,0,0,0,2,45,0,1,2,3,3,Practical Exercises
19,1,1,0,0,0,2,30,0,2,3,4,4,Problem-based Learning
33,1,1,0,10,1,3,45,0,3,3,5,5,Resource Sharing and Online Communities
33,1,1,1,10,2,1,30,1,3,3,5,5,Practical Exercises
28,1,1,1,10,1,3,45,0,3,3,5,5,Practical Exercises
28,1,1,1,4,1,3,45,1,1,1,4,4,Problem-based Learning
32,1,1,1,10,1,3,45,1,2,2,5,5,Practical Exercises
19,1,1,0,8,1,2,30,0,2,1,4,4,Practical Exercises
29,1,1,1,5,1,3,30,1,3,3,5,5,Problem-based Learning
30,1,1,1,8,1,3,45,1,3,3,5,5,Cooperative Learning
28,1,1,1,10,1,3,61,1,3,3,5,5,Practical Exercises
30,1,1,1,5,1,3,45,1,2,3,5,5,Practical Exercises
19,1,1,0,20,1,4,61,1,2,3,5,5,Cooperative Learning
19,1,1,0,11,1,3,30,1,3,3,5,5,Resource Sharing and Online Communities
28,0,1,0,5,0,3,30,1,3,3,5,5,Practical Exercises
28,1,1,1,5,1,3,30,1,2,3,3,3,Practical Exercises
30,1,2,3,10,1,2,30,1,2,3,5,5,Practical Exercises
28,1,1,1,5,1,3,30,1,3,3,5,5,Practical Exercises
26,1,2,1,3,0,2,45,0,3,3,5,5,Cooperative Learning
35,0,2,1,15,1,1,30,1,3,3,5,5,Problem-based Learning
18,0,1,0,1,1,3,61,0,2,2,5,5,Problem-based Learning
18,1,1,0,8,1,2,45,0,0,3,3,3,Problem-based Learning
28,1,1,1,10,1,3,45,1,3,3,5,5,Practical Exercises
29,1,1,1,6,1,3,45,0,2,3,5,5,Problem-based Learning
19,1,1,0,4,1,3,45,0,2,1,4,4,Practical Exercises
35,1,1,3,10,0,3,45,0,3,2,4,5,Practical Exercises
26,1,2,1,8,4,3,30,0,3,3,5,5,Practical Exercises
24,1,2,3,4,1,3,45,0,2,3,4,4,Problem-based Learning
30,1,1,0,10,1,3,60,0,3,3,4,3,Problem-based Learning
29,1,1,1,8,1,3,45,1,2,2,4,4,Practical Exercises
28,1,1,1,10,1,2,45,0,2,3,5,5,Continuous Evaluation and Feedback
28,1,1,0,3,1,2,30,0,3,3,5,5,Cooperative Learning
28,0,1,0,6,1,3,30,1,2,2,5,5,Practical Exercises
29,1,1,1,6,1,3,30,1,2,2,5,5,Practical Exercises
28,1,1,1,8,1,3,30,1,2,2,5,5,Practical Exercises
18,1,1,0,5,3,3,45,0,3,3,4,4,Problem-based Learning
28,1,1,1,8,0,1,60,0,3,2,5,5,Practical Exercises
28,1,1,3,6,0,3,45,1,2,2,5,5,Practical Exercises
19,1,1,0,6,1,2,45,0,2,2,4,4,Practical Exercises
18,1,1,0,12,0,1,30,0,2,2,4,4,Practical Exercises
19,1,1,0,1,2,2,30,1,2,1,4,4,Cooperative Learning
20,1,1,1,6,1,2,45,0,3,3,4,4,Practical Exercises
19,1,1,0,0,1,3,61,0,3,2,4,4,Problem-based Learning
26,1,1,1,1,1,2,30,1,1,2,3,3,Problem-based Learning
20,1,1,0,3,1,3,45,1,3,3,4,4,Problem-based Learning
20,1,1,0,0,0,4,45,0,2,3,4,4,Problem-based Learning
20,1,1,0,10,3,2,45,0,2,2,4,4,Practical Exercises
20,1,1,0,0,0,4,45,1,3,3,4,4,Problem-based Learning
25,0,1,0,2,2,3,15,0,1,2,4,4,Practical Exercises
18,1,2,2,10,1,4,45,0,3,3,5,5,Practical Exercises
33,1,2,1,10,1,4,45,1,2,3,5,5,Problem-based Learning
20,1,1,0,3,1,3,45,0,2,3,5,5,Problem-based Learning
28,1,2,3,5,1,3,60,1,3,3,5,5,Resource Sharing and Online Communities
20,1,1,0,6,2,4,45,0,3,3,5,5,Practical Exercises
22,1,0,0,8,1,4,30,0,2,2,3,3,Problem-based Learning
26,0,1,0,3,1,3,15,1,2,2,4,4,Problem-based Learning
20,1,1,0,0,1,4,45,0,2,2,5,5,Problem-based Learning
25,1,1,0,1,1,3,30,1,2,3,4,4,Practical Exercises
20,1,1,0,6,1,4,45,0,2,3,5,5,Problem-based Learning
40,1,1,1,20,1,3,45,1,3,3,5,5,Problem-based Learning
20,0,1,0,10,1,4,45,0,2,3,5,5,Problem-based Learning
20,1,1,0,3,4,4,45,1,2,3,4,4,Cooperative Learning
28,0,1,0,4,1,4,15,0,1,3,5,5,Practical Exercises
25,0,1,0,3,0,4,30,0,3,2,4,4,Practical Exercises
30,0,2,0,6,1,3,30,0,2,2,3,4,Problem-based Learning
21,1,1,0,2,3,3,30,0,1,1,4,4,Cooperative Learning
19,0,1,0,10,0,0,15,2,3,2,4,4,Practical Exercises
20,0,1,0,3,0,3,60,0,3,3,5,5,Practical Exercises
20,1,1,0,4,0,3,45,0,2,0,4,4,Problem-based Learning
20,1,1,0,1,2,4,30,0,2,2,4,4,Practical Exercises
18,1,1,0,3,1,3,30,0,2,2,5,5,Problem-based Learning
22,1,1,0,15,1,1,45,1,3,3,4,5,Resource Sharing and Online Communities
19,1,1,1,30,1,4,45,1,2,3,5,5,Problem-based Learning
21,1,1,0,9,2,4,61,0,2,1,3,3,Practical Exercises
33,0,1,1,6,2,4,15,0,2,2,4,4,Problem-based Learning
35,1,1,1,5,1,4,15,0,1,2,3,3,Problem-based Learning
40,1,1,1,10,3,3,61,1,1,1,2,2,Resource Sharing and Online Communities
46,1,2,1,12,1,1,45,0,1,3,2,3,Problem-based Learning
49,0,3,1,12,4,0,60,0,1,1,4,5,Cooperative Learning
44,0,1,1,13,5,3,61,2,1,2,2,1,Resource Sharing and Online Communities
30,1,2,1,5,3,2,30,0,2,1,2,2,Continuous Evaluation and Feedback
53,1,3,2,15,5,2,60,0,2,3,3,3,Resource Sharing and Online Communities
52,1,1,1,20,0,3,60,0,0,1,5,5,Continuous Evaluation and Feedback
36,1,1,1,5,1,2,30,1,0,1,3,3,Resource Sharing and Online Communities
33,1,3,1,7,3,2,60,1,2,2,3,2,Resource Sharing and Online Communities
36,0,3,1,4,2,0,60,1,1,1,3,2,Continuous Evaluation and Feedback
53,0,1,1,15,5,1,45,2,2,1,4,5,Resource Sharing and Online Communities
39,0,2,1,8,3,2,30,1,2,1,3,4,Cooperative Learning
34,1,2,1,6,5,2,45,0,1,2,4,3,Continuous Evaluation and Feedback
41,1,3,1,9,3,2,45,0,1,1,3,3,Resource Sharing and Online Communities
40,1,2,1,7,3,1,30,0,1,2,4,3,Cooperative Learning
